data;temp_max;temp_min;air_moisture;solar_radiation;wind_speed;preciptation;evapotranspiration
13/07/03;32,5;23,9;76,3;20,8;112,4;0,0;4,4
14/07/03;32,8;22,0;79,0;19,7;87,0;0,0;4,1
15/07/03;32,4;22,9;77,3;20,1;88,8;0,0;4,2
16/07/03;34,4;22,2;75,0;21,2;103,3;0,0;4,5
17/07/03;33,3;23,1;72,2;21,0;92,3;0,0;4,5
18/07/03;31,6;21,5;81,4;16,8;59,8;0,0;3,4
19/07/03;31,1;20,7;81,7;17,8;63,3;0,0;3,5
20/07/03;32,1;21,2;81,2;18,6;63,4;0,0;3,7
21/07/03;31,2;23,8;76,3;19,3;106,8;0,0;4,1
22/07/03;33,7;21,9;73,3;20,7;67,0;0,0;4,3
23/07/03;31,7;19,5;78,1;21,4;76,1;0,0;4,1
24/07/03;33,6;21,6;74,0;18,6;86,9;0,0;4,0
25/07/03;34,0;24,1;71,9;16,4;99,6;0,0;3,9
26/07/03;32,9;21,7;70,9;21,2;112,3;0,0;4,5
27/07/03;32,9;21,4;70,0;21,3;90,4;0,0;4,5
28/07/03;32,3;22,7;73,5;21,4;72,5;0,0;4,4
29/07/03;32,0;21,0;75,7;21,3;116,0;0,0;4,4
30/07/03;33,0;23,5;74,5;21,7;105,0;0,0;4,6
31/07/03;34,8;19,2;73,5;21,2;94,2;0,0;4,5
01/08/03;33,5;20,5;74,3;19,9;99,6;0,0;4,2
02/08/03;33,9;21,0;70,5;21,2;119,6;0,0;4,6
03/08/03;32,6;20,3;75,0;20,8;92,4;0,0;4,3
04/08/03;33,6;20,1;73,3;20,6;94,2;0,0;4,3
05/08/03;34,0;23,4;71,5;17,3;105,1;0,0;4,1
06/08/03;33,4;23,0;69,7;21,7;114,2;0,0;4,8
07/08/03;31,8;23,4;74,0;21,9;128,6;0,0;4,7
08/08/03;32,8;21,0;73,6;22,0;94,2;0,0;4,5
09/08/03;32,2;21,5;79,1;19,8;94,2;0,0;4,1
10/08/03;32,0;21,6;79,2;22,0;88,7;0,0;4,4
11/08/03;31,6;20,9;78,8;21,1;116,0;0,0;4,3
12/08/03;32,0;21,2;74,3;20,7;108,8;0,0;4,4
13/08/03;31,5;23,0;74,1;18,4;114,2;0,0;4,1
14/08/03;31,1;22,8;69,6;22,0;123,2;0,0;4,7
15/08/03;31,4;20,7;75,2;20,1;94,2;0,0;4,1
16/08/03;31,6;22,3;78,9;20,4;88,8;0,0;4,2
17/08/03;32,6;21,4;80,6;20,4;79,7;0,0;4,2
18/08/03;31,4;24,3;78,4;18,7;112,4;0,0;4,1
19/08/03;31,6;23,1;75,4;18,5;106,9;0,0;4,1
20/08/03;31,6;22,9;75,6;21,7;90,5;0,0;4,5
21/08/03;31,9;20,6;79,4;21,9;107,0;0,0;4,4
22/08/03;31,4;24,9;77,1;18,8;103,2;0,0;4,1
23/08/03;32,1;22,4;76,9;19,0;86,9;0,0;4,0
24/08/03;31,4;25,2;76,1;15,8;103,3;0,0;3,7
25/08/03;32,4;24,6;71,2;21,7;155,9;0,0;5,0
26/08/03;32,1;23,9;71,8;21,0;125,1;0,0;4,7
27/08/03;34,0;21,7;72,1;20,9;83,3;0,0;4,5
28/08/03;31,4;22,2;71,8;21,5;150,3;0,0;4,7
29/08/03;31,1;23,7;72,7;20,4;166,8;0,0;4,6
30/08/03;32,5;21,3;74,2;21,6;116,0;0,0;4,6
31/08/03;33,4;21,2;73,9;21,2;126,8;0,0;4,6
01/09/03;33,2;24,6;74,6;21,2;146,8;0,0;4,9
02/09/03;32,1;24,4;72,7;21,0;155,9;0,0;4,8
03/09/03;33,5;23,7;69,5;21,4;159,5;0,0;5,1
04/09/03;32,1;24,1;72,8;21,9;148,6;0,0;4,9
05/09/03;33,2;23,5;72,8;21,6;134,1;0,0;4,9
06/09/03;32,0;24,0;73,5;21,9;135,9;0,0;4,8
07/09/03;31,8;24,3;73,2;21,9;141,3;0,0;4,9
08/09/03;32,5;23,5;71,8;22,1;126,9;0,0;4,9
09/09/03;31,3;23,6;72,1;21,6;132,4;0,0;4,8
10/09/03;32,3;22,9;71,7;22,6;139,6;0,0;5,0
11/09/03;32,3;24,1;73,4;21,0;172,2;0,0;4,9
12/09/03;31,0;23,2;82,9;16,9;86,9;0,0;3,6
13/09/03;31,7;24,5;74,2;22,8;136,0;0,0;5,0
14/09/03;30,9;24,0;73,4;22,7;172,2;0,0;5,0
15/09/03;32,1;23,9;72,5;22,8;170,4;0,0;5,1
16/09/03;32,4;24,8;76,3;20,1;134,2;0,0;4,6
17/09/03;32,2;24,4;78,3;19,5;123,2;0,0;4,4
18/09/03;31,6;24,7;77,6;18,1;105,0;0,0;4,1
19/09/03;31,8;24,3;72,0;19,7;108,7;0,0;4,5
20/09/03;31,8;21,6;75,6;20,9;88,7;0,0;4,4
21/09/03;32,1;21,6;77,3;20,7;101,4;0,0;4,4
22/09/03;31,7;24,5;79,1;21,8;105,1;0,0;4,7
23/09/03;32,2;24,3;76,3;22,6;95,9;0,0;4,8
24/09/03;31,3;23,1;74,3;20,1;105,1;0,0;4,4
25/09/03;31,6;21,4;75,1;18,3;85,1;0,0;3,9
26/09/03;31,3;23,2;74,5;17,8;101,4;0,0;4,0
27/09/03;30,9;24,5;75,0;21,4;90,5;0,0;4,6
28/09/03;32,1;22,9;78,3;21,1;70,6;0,0;4,4
29/09/03;32,4;24,5;75,7;23,4;96,0;0,0;5,0
30/09/03;31,6;24,8;72,6;19,4;146,9;0,0;4,6
01/10/03;32,0;24,2;74,1;21,1;108,8;0,0;4,6
02/10/03;32,5;21,5;77,6;17,7;85,1;0,0;3,9
03/10/03;32,3;22,6;74,4;22,4;132,3;0,0;4,9
04/10/03;33,8;23,2;68,6;22,4;112,4;0,0;5,1
05/10/03;33,5;23,3;71,4;22,0;106,9;0,0;4,9
06/10/03;33,5;22,1;77,2;21,5;90,4;0,0;4,6
07/10/03;32,9;22,9;77,8;21,2;61,6;0,0;4,5
08/10/03;31,9;21,6;80,0;18,5;57,9;0,0;3,9
09/10/03;32,5;21,8;78,4;15,8;65,2;0,0;3,5
10/10/03;32,9;20,8;75,6;21,4;108,8;0,0;4,6
11/10/03;32,5;24,7;71,9;19,5;168,6;0,0;4,7
12/10/03;33,6;24,7;67,2;22,1;186,7;0,0;5,5
13/10/03;33,5;24,2;68,6;18,4;163,1;0,0;4,7
14/10/03;32,6;24,8;74,5;16,9;137,8;0,0;4,1
15/10/03;32,8;23,7;72,6;20,2;135,9;0,0;4,7
16/10/03;34,0;23,9;69,8;22,6;177,5;0,0;5,4
17/10/03;33,5;24,8;69,4;22,7;170,4;0,0;5,4
18/10/03;33,4;23,3;71,2;21,9;135,9;0,0;5,0
19/10/03;32,9;24,1;75,8;18,3;112,3;0,0;4,2
20/10/03;33,1;25,0;75,7;23,6;126,9;0,0;5,2
21/10/03;31,7;25,2;76,2;20,0;117,7;0,0;4,5
22/10/03;33,7;25,2;76,2;22,5;119,7;0,0;5,1
23/10/03;31,6;25,4;75,2;18,2;143,2;0,0;4,3
24/10/03;33,1;25,3;71,6;21,9;152,4;0,0;5,1
25/10/03;32,9;25,1;73,2;22,7;117,8;0,0;5,1
26/10/03;33,6;24,9;74,4;18,9;134,2;0,0;4,5
27/10/03;32,5;25,2;73,0;20,3;170,4;0,0;4,9
28/10/03;31,8;25,1;70,9;18,3;159,6;0,0;4,5
29/10/03;32,4;24,2;74,1;23,6;125,1;0,0;5,1
30/10/03;31,9;23,7;77,5;20,9;90,6;0,0;4,5
31/10/03;32,9;24,5;74,5;18,8;114,2;0,0;4,4
01/11/03;32,7;25,5;71,5;22,5;154,2;0,0;5,2
02/11/03;33,6;25,4;69,5;20,4;159,5;0,0;5,0
03/11/03;33,8;24,2;70,5;20,4;150,5;0,0;4,9
04/11/03;33,7;25,1;71,3;19,9;161,4;0,0;4,9
05/11/03;33,1;25,1;69,7;22,5;163,1;0,0;5,3
06/11/03;32,4;25,5;72,1;22,1;175,8;0,0;5,2
07/11/03;32,6;25,3;72,6;18,4;183,0;0,0;4,6
08/11/03;32,1;25,5;72,6;19,7;183,0;0,0;4,8
09/11/03;32,3;25,6;76,6;21,8;148,7;0,0;4,9
10/11/03;30,8;25,4;79,2;12,7;136,0;0,0;3,2
11/11/03;32,2;24,4;75,9;21,6;125,0;0,0;4,8
12/11/03;32,5;25,2;74,9;19,8;116,0;0,0;4,5
13/11/03;32,2;23,3;76,3;20,9;92,4;0,0;4,5
14/11/03;32,6;21,5;77,6;21,8;101,5;0,0;4,6
15/11/03;32,3;24,1;76,7;17,5;114,2;0,0;4,0
16/11/03;32,4;21,7;77,5;19,7;96,0;0,0;4,2
17/11/03;31,6;22,1;81,7;16,6;83,2;0,0;3,6
18/11/03;32,4;23,7;78,3;22,1;99,6;0,0;4,7
19/11/03;32,3;24,4;76,2;20,3;114,2;0,0;4,5
20/11/03;32,5;25,0;74,4;18,9;94,2;0,0;4,3
21/11/03;32,0;23,0;77,3;21,2;86,9;0,0;4,5
22/11/03;32,5;24,1;74,5;21,9;101,5;0,0;4,8
23/11/03;32,7;25,4;74,5;23,0;117,8;0,0;5,1
24/11/03;33,6;25,0;75,6;22,2;92,4;0,0;4,9
25/11/03;33,2;24,2;75,1;18,7;97,8;0,0;4,3
26/11/03;32,9;24,0;74,6;18,7;117,9;0,0;4,3
27/11/03;33,3;25,5;72,9;18,8;117,8;0,0;4,5
28/11/03;32,8;23,7;72,9;17,6;94,2;0,0;4,1
29/11/03;33,1;22,3;77,5;17,4;81,6;0,0;3,9
30/11/03;32,2;25,0;76,3;21,4;114,2;0,0;4,7
01/12/03;32,4;24,4;75,5;19,1;105,0;0,0;4,3
02/12/03;32,5;24,7;74,0;21,1;106,8;0,0;4,7
03/12/03;33,6;24,6;73,9;19,8;128,7;0,0;4,6
04/12/03;33,1;25,3;73,8;19,0;108,6;0,0;4,4
05/12/03;33,5;23,2;75,6;22,4;70,6;0,0;4,8
06/12/03;32,7;22,2;80,2;19,7;68,8;0,0;4,1
07/12/03;32,5;22,2;80,2;15,4;76,1;0,0;3,4
08/12/03;32,8;24,2;76,9;21,5;76,0;0,0;4,6
09/12/03;32,7;22,8;79,4;16,8;63,4;0,0;3,7
10/12/03;32,5;24,8;76,8;22,2;81,5;0,0;4,7
11/12/03;33,2;25,5;75,9;20,3;88,6;0,0;4,5
12/12/03;32,5;23,4;77,3;20,7;70,6;0,0;4,4
13/12/03;32,2;25,0;75,4;19,5;94,1;0,0;4,4
14/12/03;32,5;25,5;73,0;17,3;88,6;0,0;4,0
15/12/03;30,9;24,5;77,5;15,0;58,0;0,0;3,3
16/12/03;31,2;22,6;79,2;11,0;63,4;0,0;2,6
17/12/03;32,0;24,3;79,8;14,2;70,6;0,0;3,3
18/12/03;33,2;25,0;76,7;19,1;90,6;0,0;4,3
19/12/03;32,5;25,0;76,6;17,6;85,1;0,0;4,0
20/12/03;32,4;24,2;75,7;9,6;65,2;0,0;2,5
21/12/03;33,1;24,4;75,7;18,1;108,8;0,0;4,2
22/12/03;32,7;25,4;78,2;18,4;94,2;0,0;4,2
23/12/03;33,0;24,7;78,0;16,1;99,6;0,0;3,8
24/12/03;33,3;25,6;73,9;16,6;134,1;0,0;4,1
25/12/03;33,0;25,1;77,1;13,8;65,2;0,0;3,3
26/12/03;33,9;24,5;78,4;16,5;79,7;0,0;3,8
27/12/03;32,7;25,6;77,1;17,2;94,2;0,0;4,0
28/12/03;33,9;26,1;74,8;20,8;134,2;0,0;4,9
29/12/03;33,8;24,9;74,6;19,2;94,2;0,0;4,4
30/12/03;31,8;23,5;80,3;16,9;68,8;0,0;3,7
31/12/03;33,3;24,7;74,1;18,2;97,7;0,0;4,2
